"Id","Title","Release_date","imdb_rating"
"11324","Shutter Island","2010-02-14",""
"629","The Usual Suspects","1995-07-19",""
"762975","Purple Hearts","2022-07-29",""
"313106","Doctor Who: The Day of the Doctor","2013-11-23",""
"823754","Bo Burnham: Inside","2021-07-22",""
"426","Vertigo","1958-05-28",""
"324786","Hacksaw Ridge","2016-10-07",""
"476292","Maquia: When the Promised Flower Blooms","2018-02-24",""
"77","Memento","2000-10-11",""
"664767","Mortal Kombat Legends: Scorpion's Revenge","2020-04-12",""
"531428","Portrait of a Lady on Fire","2019-06-17",""
"297610","Abraham Lincoln Vampire Hunter: The Great Calamity","2012-10-23",""
"26451","Investigation of a Citizen Above Suspicion","1970-10-16",""
"470044","The Hate U Give","2018-10-19",""
"398818","Call Me by Your Name","2017-09-01",""
"2457","Children of Paradise","1945-03-15",""
"517814","Capernaum","2018-09-20",""
"399106","Piper","2016-06-16",""
"133919","Scenes from a Marriage","1974-09-15",""
"289","Casablanca","1942-11-26",""
"475557","Joker","2019-10-01",""
"654299","Out of the Clear Blue Sky","2019-12-24",""
"20532","Sansho the Bailiff","1954-03-31",""
"532067","KONOSUBA ? God's blessing on this wonderful world! Legend of Crimson","2019-08-30",""
"111","Scarface","1983-12-09",""
"103","Taxi Driver","1976-02-09",""
"620683","My Mom is a Character 3","2019-12-26",""
"1422","The Departed","2006-10-04",""
"872","Singin' in the Rain","1952-04-09",""
"92060","Michael Jackson's Thriller","1983-11-14",""
"68718","Django Unchained","2012-12-25",""
"406997","Wonder","2017-11-13",""
"606856","Togo","2019-12-20",""
"508442","Soul","2020-12-25",""
"19","Metropolis","1927-02-06",""
"600354","The Father","2020-12-23",""
"20914","My Friends","1975-10-24",""
"705","All About Eve","1950-10-06",""
"831827","Far from the Tree","2021-11-24",""
"614","Wild Strawberries","1957-12-26",""
"666","Central Station","1998-11-20",""
"489","Good Will Hunting","1997-12-05",""
"996","Double Indemnity","1944-06-14",""
"439","La Dolce Vita","1960-02-05",""
"550776","Believe Me: The Abduction of Lisa McVey","2021-06-01",""
"11878","Yojimbo","1961-04-25",""
"55823","The Great War","1959-10-28",""
"600","Full Metal Jacket","1987-06-26",""
"500","Reservoir Dogs","1992-09-02",""
"348","Alien","1979-05-25",""
"935","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","1964-01-29",""
"548","Rashomon","1950-08-26",""
"100","Lock, Stock and Two Smoking Barrels","1998-08-28",""
"400608","Bo Burnham: Make Happy","2016-06-03",""
"640344","Me Against You: Mr. S's Vendetta","2020-01-17",""
"472454","Ayla: The Daughter of War","2017-10-27",""
"37165","The Truman Show","1998-06-04",""
"20941","Innocent Voices","2005-01-28",""
"411088","The Invisible Guest","2017-01-06",""
"895","Andrei Rublev","1966-12-16",""
"24382","Big Deal on Madonna Street","1958-07-26",""
"397567","Along with the Gods: The Two Worlds","2017-12-14",""
"239","Some Like It Hot","1959-03-19",""
"9702","Bound by Honor","1993-02-05",""
"21634","Prayers for Bobby","2009-01-24",""
"992","Sherlock Jr.","1924-04-17",""
"526702","Black Beauty","2020-11-27","System.Object[]"
"843","In the Mood for Love","2000-09-29",""
"38288","I corti","1996-03-29",""
"12445","Harry Potter and the Deathly Hallows: Part 2","2011-07-07",""
"149871","The Tale of The Princess Kaguya","2013-11-23",""
"17663","Anne of Green Gables","1985-12-01",""
"3780","Red Beard","1965-04-03",""
"832","M","1931-05-11",""
"81481","Silenced","2011-09-22",""
"38","Eternal Sunshine of the Spotless Mind","2004-03-19",""
"7345","There Will Be Blood","2007-12-26",""
"46738","Incendies","2010-09-04",""
"347688","Scooby-Doo! and KISS: Rock and Roll Mystery","2015-07-10",""
"103663","The Hunt","2012-10-25",""
"655","Paris, Texas","1984-08-23",""
"280","Terminator 2: Judgment Day","1991-07-03",""
"359940","Three Billboards Outside Ebbing, Missouri","2017-12-01",""
"663558","New Gods: Nezha Reborn","2021-02-06",""
"334543","Lion","2016-11-24",""
"571265","Digimon Adventure: Last Evolution Kizuna","2020-02-21",""
"4348","Pride & Prejudice","2005-09-16",""
"62","2001: A Space Odyssey","1968-04-02",""
"529531","Hannah Gadsby: Nanette","2018-06-19",""
"337404","Cruella","2021-05-26",""
"146233","Prisoners","2013-09-18",""
"387","Das Boot","1981-09-17",""
"638507","How to Train Your Dragon: Homecoming","2019-10-25",""
"10681","WALL?E","2008-06-22",""
"406","La Haine","1995-05-31",""
"147","The 400 Blows","1959-06-03",""
"118662","Decalogue I","1989-09-05",""
"437068","A Taxi Driver","2017-08-02",""
"8392","My Neighbor Totoro","1988-04-16",""
"7347","Elite Squad","2007-10-12",""
"610461","Veintea?era, Divorciada y Fant?stica","2020-02-14",""
"11423","Memories of Murder","2003-05-02",""
"11659","The Best of Youth","2003-06-22",""
"42229","A Special Day","1977-08-11",""
"785084","The Whale","2022-12-09",""
"55960","Toto, Peppino, and the Hussy","1956-08-23",""
"1955","The Elephant Man","1980-10-09",""
"615457","Nobody","2021-03-18",""
"515001","Jojo Rabbit","2019-10-18","7.9/10"
"381284","Hidden Figures","2016-12-10",""
"120467","The Grand Budapest Hotel","2014-02-26",""
"26022","My Name Is Khan","2010-02-10",""
"893941","Misfit","2021-10-14",""
"785534","Paper Lives","2021-03-12",""
"11645","Ran","1985-06-01",""
"8422","Rocco and His Brothers","1960-10-06",""
"678580","El mesero","2021-07-15",""
"538362","On My Skin","2018-09-12",""
"449176","Love, Simon","2018-02-16",""
"310569","The Second Mother","2015-06-04",""
"37793","Ghosts","1997-09-04",""
"780","The Passion of Joan of Arc","1928-04-21",""
"400928","Gifted","2017-04-12",""
"821","Judgment at Nuremberg","1961-12-18",""
"339877","Loving Vincent","2017-06-22",""
"282848","Doctor Who: The Time of the Doctor","2013-12-25",""
"115929","Cool Kids Don't Cry","2012-02-15",""
"5801","Pather Panchali","1955-08-26",""
"574074","Kitbull","2019-01-18",""
"20530","Late Spring","1949-09-13",""
"582","The Lives of Others","2006-03-15",""
"429210","Bingo: The King of the Mornings","2017-08-24",""
"522518","A Dog's Journey","2019-05-03",""
"800","The Young and the Damned","1950-12-09",""
"264644","Room","2015-10-16",""
"106646","The Wolf of Wall Street","2013-12-25",""
"1091","The Thing","1982-06-25",""
"279","Amadeus","1984-09-19",""
"1396","Mirror","1975-03-07",""
"458220","Palmer","2021-01-29",""
"641","Requiem for a Dream","2000-10-06",""
"962","The Gold Rush","1925-07-12",""
"568160","Weathering with You","2019-06-19",""
"9764","Dersu Uzala","1975-08-02",""
"14","American Beauty","1999-09-15",""
"19426","Nights of Cabiria","1957-10-03",""
"204","The Wages of Fear","1953-04-22",""
"714888","Argentina, 1985","2022-09-29",""
"28978","The Circus","1928-01-06",""
"938","For a Few Dollars More","1965-12-18",""
"521","Dial M for Murder","1954-05-29",""
"455661","In a Heartbeat","2017-06-01",""
"19542","The Red Shoes","1948-09-06",""
"673","Harry Potter and the Prisoner of Azkaban","2004-05-31",""
"15","Citizen Kane","1941-04-17",""
"378108","In This Corner of the World","2016-11-12",""
"11104","Chungking Express","1994-07-14",""
"9277","The Sting","1973-12-25",""
"524","Casino","1995-11-22",""
"961","The General","1926-12-25",""
"285700","The Fool","2014-08-09","5.9/10"
"110416","Song of the Sea","2014-09-06",""
"595","To Kill a Mockingbird","1962-12-20",""
"315465","The Boy and the Beast","2015-07-11",""
"359724","Ford v Ferrari","2019-11-13",""
"12761","Autumn Sonata","1978-10-08",""
"307","Rome, Open City","1945-10-08",""
"205596","The Imitation Game","2014-11-14",""
"3175","Barry Lyndon","1975-11-26",""
"634649","Spider-Man: No Way Home","2021-12-15",""
"140420","Paperman","2012-11-02",""
"31439","To Live","1994-05-26",""
"11778","The Deer Hunter","1978-03-09",""
"28178","Hachi: A Dog's Tale","2009-06-08",""
"488623","Forgotten","2017-11-29",""
"424694","Bohemian Rhapsody","2018-10-24",""
"652722","In the Arms of an Assassin","2019-12-06",""
"51482","Death Note Relight 1: Visions of a God","2007-08-31",""
"426618","Where Hands Touch","2018-09-14",""
"58007","Poverty and Nobility","1954-04-17",""
"23282","One Week","1920-08-29",""
"554596","No Manches Frida 2","2019-03-15",""
"776503","CODA","2021-08-11",""
"13223","Gran Torino","2008-12-09",""
"3090","The Treasure of the Sierra Madre","1948-01-15",""
"45752","Scooby-Doo! Camp Scare","2010-09-14",""
"482321","Ron's Gone Wrong","2021-10-14",""
"25376","The Secret in Their Eyes","2009-08-13",""
"15244","A Man Escaped","1956-11-11",""
"603692","John Wick: Chapter 4","2023-03-22",""
"18438","Castaway on the Moon","2009-05-14",""
"213","North by Northwest","1959-07-08",""
"28422","Love Exposure","2009-01-31",""
"962232","Beyond the Universe","2022-10-27",""
"7508","Like Stars on Earth","2007-12-21",""
"530915","1917","2019-12-25",""
"12104","Pink Floyd: The Wall","1982-07-14",""
"20453","3 Idiots","2009-12-23",""
"11658","Tae Guk Gi: The Brotherhood of War","2004-02-05",""
"2517","Nobody Knows","2004-08-07",""
"237791","The Way He Looks","2014-03-28",""
"14696","Ugetsu","1953-03-26",""
"770","Gone with the Wind","1939-12-15",""
"550205","Wish Dragon","2021-01-15",""
"43949","Flipped","2010-08-06",""
"1059","The Hidden Fortress","1958-12-28",""
"947","Lawrence of Arabia","1962-12-11",""
"715931","Emancipation","2022-12-02",""
"560066","Scooby-Doo! and the Curse of the 13th Ghost","2019-02-05",""
"94047","My Way","2011-12-21",""
"29264","The Exterminating Angel","1962-05-16",""
"242828","When Marnie Was There","2014-07-19",""
"10238","Cries and Whispers","1972-12-21",""
"627","Trainspotting","1996-02-23",""
"24","Kill Bill: Vol. 1","2003-10-10",""
"522402","Finch","2021-11-04",""
"11712","Sanjuro","1962-01-01",""
"38286","Three Men and a Leg","1997-12-27",""
"862","Toy Story","1995-10-30",""
"654","On the Waterfront","1954-06-22",""
"698508","Redeeming Love","2022-01-21",""
"1580","Rope","1948-03-11",""
"1578","Raging Bull","1980-11-14","8.2/10"
"76","Before Sunrise","1995-01-27",""
"1092","The Third Man","1949-08-31",""
"640","Catch Me If You Can","2002-12-16",""
"458302","Remi, Nobody's Boy","2018-12-12",""
"38360","The Cranes Are Flying","1957-10-12",""
"15383","Army of Shadows","1969-09-10","8.1/10"
"20803","Ivan Vasilyevich Changes His Profession","1973-09-17",""
"501929","The Mitchells vs. the Machines","2021-04-22",""
"414419","Kill Bill: The Whole Bloody Affair","2011-03-27",""
"21334","Children of Heaven","1997-08-01",""
"70","Million Dollar Baby","2004-12-15",""
"489412","It's Such a Beautiful Day","2012-08-24",""
"142061","Batman: The Dark Knight Returns, Part 2","2013-01-03",""
"234","The Cabinet of Dr. Caligari","1920-02-27",""
"10515","Castle in the Sky","1986-08-02",""
"110","Three Colors: Red","1994-05-12",""
"315620","Doctor Who: A Christmas Carol","2010-12-25",""
"775","A Trip to the Moon","1902-04-17",""
"438695","Sing 2","2021-12-01",""
"667520","A Whisker Away","2020-06-18",""
"10404","Raise the Red Lantern","1991-12-18",""
"632322","All My Life","2020-10-23",""
"41050","La Notte","1961-01-24",""
"405","La Strada","1954-09-23",""
"149","Akira","1988-07-16",""
"360814","Dangal","2016-12-21",""
"698948","Thirteen Lives","2022-07-18",""
"3777","Throne of Blood","1957-01-15",""
"523781","Words on Bathroom Walls","2020-08-21",""
"160885","Tel chi el tel?n","1999-05-12",""
"76203","12 Years a Slave","2013-10-18",""
"28971","Limelight","1952-10-23",""
"491480","The Boy Who Harnessed the Wind","2019-02-14",""
"14160","Up","2009-05-28",""
"745","The Sixth Sense","1999-08-06",""
"698201","Tokyo Revengers","2021-07-09",""
"158445","Miracle in Cell No. 7","2013-01-23",""
"20722","La Maison en Petits Cubes","2008-06-10",""
"11010","The Postman","1994-04-07",""
"10242","What Ever Happened to Baby Jane?","1962-10-12",""
"920394","My Father's Violin","2022-01-21",""
"455714","Bad Genius","2017-05-03",""
"10728","Faust","1926-10-13",""
"5925","The Great Escape","1963-06-20",""
"9323","Ghost in the Shell","1995-11-18",""
"329","Jurassic Park","1993-06-11",""
"152532","Dallas Buyers Club","2013-11-01",""
"6977","No Country for Old Men","2007-06-13",""
"31411","The Cameraman","1928-09-10",""
"78","Blade Runner","1982-06-25",""
"522212","Just Mercy","2019-12-25",""
"615453","Ne Zha","2019-07-26",""
"20271","Divorce Italian Style","1961-12-20",""
"746957","You've Got This","2020-10-02",""
"610150","Dragon Ball Super: Super Hero","2022-06-11",""
"197","Braveheart","1995-05-24",""
"81","Nausica? of the Valley of the Wind","1984-03-11",""
"613868","Cousins","2019-12-10",""
"37797","Whisper of the Heart","1995-07-15",""
"527774","Raya and the Last Dragon","2021-03-03",""
"69335","Est?mago: A Gastronomic Story","2007-09-26",""
"662","La Jet?e","1962-02-16",""
"829","Chinatown","1974-06-20",""
"803700","The Eight Mountains","2022-12-21",""
"150540","Inside Out","2015-06-09",""
"10386","The Iron Giant","1999-08-06",""
"33","Unforgiven","1992-08-07",""
"85","Raiders of the Lost Ark","1981-06-12",""
"7857","Amarcord","1973-12-18",""
"1646","Freedom Writers","2007-01-05",""
"20875","Operation Y and Other Shurik's Adventures","1965-07-24",""
"679","Aliens","1986-07-18",""
"32085","Vincent","1982-10-01",""
"938008","The Killer","2022-07-13",""
"594634","Close to the Horizon","2019-10-10",""
"334533","Captain Fantastic","2016-07-08",""
"316029","The Greatest Showman","2017-12-20",""
"10674","Mulan","1998-06-18",""
"8290","Don't Look Now... We're Being Shot At!","1966-12-08",""
"6715","The Cure","1995-04-21",""
"2011","Persepolis","2007-06-27",""
"721656","Happy Halloween, Scooby-Doo!","2020-10-06",""
"3034","Young Frankenstein","1974-12-15",""
"843906","Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog","2021-09-14",""
"552532","Charm City Kings","2020-01-27",""
"505262","My Hero Academia: Two Heroes","2018-08-03",""
"671","Harry Potter and the Philosopher's Stone","2001-11-16",""
"296096","Me Before You","2016-06-01",""
"183011","Justice League: The Flashpoint Paradox","2013-07-30",""
"573164","An Egg Rescue","2021-08-12",""
"47796","Mamma Roma","1962-09-22",""
"579792","Cindy La Regia","2020-01-24",""
"25364","Ace in the Hole","1951-06-29",""
"17295","The Battle of Algiers","1966-09-08",""
"7984","In the Name of the Father","1993-12-12",""
"223","Rebecca","1940-03-23",""
"122906","About Time","2013-09-04",""
"3083","Mr. Smith Goes to Washington","1939-10-19",""
"435129","The Breadwinner","2017-11-17",""
"331482","Little Women","2019-12-25",""
"118340","Guardians of the Galaxy","2014-07-30",""
"198","To Be or Not to Be","1942-03-05",""
"194","Am?lie","2001-04-25",""
"1402","The Pursuit of Happyness","2006-12-14",""
"570503","Tune in for Love","2019-08-28",""
"585511","Luck","2022-08-05",""
"949","Heat","1995-12-15",""
"31442","Ivan's Childhood","1962-05-09",""
"752","V for Vendetta","2006-02-23",""
"60243","A Separation","2011-02-15",""
"3870","1900","1976-09-01",""
"11830","Tampopo","1985-11-23",""
"548544","Invisible Life","2019-08-30",""
"24167","Two Women","1960-12-22",""
"210577","Gone Girl","2014-10-01",""
"597","Titanic","1997-11-18",""
"937278","A Man Called Otto","2022-12-28",""
"313369","La La Land","2016-11-29",""
"712454","The Summit of the Gods","2021-09-22",""
"369557","Sing Street","2016-03-11",""
"804","Roman Holiday","1953-08-26",""
"1892","Return of the Jedi","1983-05-25",""
"1162","The Miracle Worker","1962-05-23",""
"16","Dancer in the Dark","2000-06-30",""
"556901","Teen Titans Go! vs. Teen Titans","2019-07-21",""
"13398","Tokyo Godfathers","2003-12-29",""
"22596","Safety Last!","1923-04-01",""
"588228","The Tomorrow War","2021-07-02",""
"1394","Nostalgia","1983-05-01",""
"508943","Luca","2021-06-17",""
"3078","It Happened One Night","1934-02-22",""
"406785","Inner Workings","2016-11-23",""
"354857","Regular Show: The Movie","2015-09-01",""
"10997","Farewell My Concubine","1993-01-01",""
"180147","We Are the Nobles","2013-03-28",""
"801335","Girl in the Basement","2021-02-27",""
"49964","Where Is My Friend's House?","1987-07-01",""
"11036","The Notebook","2004-06-25",""
"631","Sunrise: A Song of Two Humans","1927-11-04",""
"393","Kill Bill: Vol. 2","2004-04-16",""
"827","Diabolique","1955-01-29",""
"579245","The Specials","2019-10-23",""
"25538","Yi Yi","2000-09-20",""
"503314","Dragon Ball Super: Broly","2018-12-14",""
"404378","A Street Cat Named Bob","2016-11-04",""
"3112","The Night of the Hunter","1955-08-26",""
"776305","Belle","2021-07-16",""
"83564","La luna","2012-02-10",""
"29455","Winter Light","1963-02-11",""
"301","Rio Bravo","1959-03-17",""
"379170","Sherlock: The Abominable Bride","2016-01-01",""
"833","Umberto D.","1952-01-20",""
"744114","My Policeman","2022-10-20",""
"11293","Paper Moon","1973-05-09",""
"275","Fargo","1996-03-08",""
"381341","Perfect Strangers","2016-02-11","5.2/10"
"43469","Shoeshine","1946-04-27","8/10"
"48035","Ordet","1955-01-09",""
"929170","Honor Society","2022-07-23",""
"564427","Minha Vida em Marte","2018-12-27",""
"430424","See You Up There","2017-10-25",""
"56231","The Working Class Goes to Heaven","1971-09-17",""
"52629","El Infierno","2010-09-03",""
"726684","Miraculous World: Shanghai ? The Legend of Ladydragon","2021-05-15",""
"505192","Shoplifters","2018-06-02",""
"266856","The Theory of Everything","2014-11-26",""
"934","Rififi","1955-04-13",""
"235","Stand by Me","1986-08-08",""
"152601","Her","2013-12-18",""
"445030","No Game No Life: Zero","2017-07-15",""
"399174","Isle of Dogs","2018-03-23",""
"391","A Fistful of Dollars","1964-01-18",""
"265195","Wild Tales","2014-08-21",""
"726759","Tetris","2023-03-15",""
"367412","Whiplash","2013-01-18",""
"2440","Joint Security Area","2000-09-09",""
"665","Ben-Hur","1959-11-18",""
"24238","Mary and Max","2009-02-09",""
"453","A Beautiful Mind","2001-12-11",""
"546554","Knives Out","2019-11-27",""
"45523","Louis C.K.: Hilarious","2010-01-26",""
"1675","Day for Night","1973-05-24",""
"581","Dances with Wolves","1990-03-30",""
"545611","Everything Everywhere All at Once","2022-03-24",""
"293299","Feast","2014-10-25",""
"593","Solaris","1972-03-20",""
"398924","A Bag of Marbles","2017-01-18",""
"86000","Always","2011-10-20",""
"10774","Network","1976-11-14",""
"16390","Scooby-Doo! and the Samurai Sword","2009-04-07",""
"12903","Scooby-Doo! and the Goblin King","2008-09-23",""
"5511","Le Samoura?","1967-10-25",""
"32480","The Marquis of Grillo","1981-12-23",""
"5924","Papillon","1973-12-13",""
"804095","The Fabelmans","2022-11-11",""
"779047","Us Again","2021-03-05",""
"16804","Departures","2008-09-13",""
"11049","Interstella 5555","2003-05-28",""
"359156","Don't Be Bad","2015-09-08",""
"16859","Kiki's Delivery Service","1989-07-29",""
"14574","The Boy in the Striped Pyjamas","2008-05-07",""
"113","Spring, Summer, Fall, Winter... and Spring","2003-09-19",""
"22843","Evangelion: 2.0 You Can (Not) Advance","2009-06-26",""
"887","The Best Years of Our Lives","1946-12-25",""
"115","The Big Lebowski","1998-03-06",""
"613","Downfall","2004-09-16",""
"93","Anatomy of a Murder","1959-07-01",""
"946","Letter from an Unknown Woman","1948-04-28",""
"185789","Mulholland Dr.","1999-01-01",""
"58129","The Phantom Carriage","1921-01-01",""
"9479","The Nightmare Before Christmas","1993-10-09",""
"2721","Z","1969-02-26",""
"152742","The Best Offer","2013-01-01",""
"89","Indiana Jones and the Last Crusade","1989-05-24",""
"677638","We Bare Bears: The Movie","2020-06-30",""
"200727","Love, Rosie","2014-10-16",""
"24480","Partly Cloudy","2009-05-28",""
"20873","The Diamond Arm","1969-05-23",""
"573171","A Frozen Rooster","2022-12-14",""
"348892","Bajrangi Bhaijaan","2015-07-17",""
"59440","Warrior","2011-09-09",""
"596","The Grapes of Wrath","1940-03-15",""
"23160","Werckmeister Harmonies","2000-07-12",""
"777","Grand Illusion","1937-06-04",""
"579974","RRR","2022-03-24",""
"1018","Mulholland Drive","2001-06-06",""
"303867","World of Tomorrow","2015-01-22",""
"80379","Louis C.K.: Live at the Beacon Theater","2011-12-10",""
"71157","Polisse","2011-10-06",""
"31011","Mr. Nobody","2009-11-06",""
"1607","A Bronx Tale","1993-09-14",""
"530254","The Witch: Part 1. The Subversion","2018-06-27",""
"968","Dog Day Afternoon","1975-08-01",""
"585","Monsters, Inc.","2001-11-01",""
"770254","Back to the Outback","2021-12-03",""
"6075","Carlito's Way","1993-11-10",""
"30588","Monsieur Verdoux","1947-09-26",""
"14836","Coraline","2009-02-05",""
"47931","Elite Squad: The Enemy Within","2010-10-08",""
"15859","A Moment to Remember","2004-11-05",""
"136","Freaks","1932-02-12",""
"901563","Close","2022-11-01",""
"116322","The Legend of La Llorona","2011-10-21",""
"12","Finding Nemo","2003-05-30",""
"597316","My Little Pony: A New Generation","2021-09-23",""
"335578","Land of Mine","2015-12-03",""
"21135","L'Eclisse","1962-04-12",""
"11602","Through a Glass Darkly","1961-06-06",""
"826","The Bridge on the River Kwai","1957-10-11",""
"805","Rosemary's Baby","1968-06-12",""
"650031","The Shadow in My Eye","2021-10-28",""
"10775","Infernal Affairs","2002-12-12",""
"674","Harry Potter and the Goblet of Fire","2005-11-16",""
"25253","Crooks in Clover","1963-11-27",""
"80","Before Sunset","2004-02-10",""
"263115","Logan","2017-02-28","5.9/10"
"113833","The Normal Heart","2014-05-25",""
"33320","Millennium Actress","2002-09-14",""
"5915","Into the Wild","2007-09-11",""
"705861","Hustle","2022-06-03",""
"479718","The Outlaws","2017-10-03",""
"314365","Spotlight","2015-11-06",""
